1,DOWN90,40,37,39
1,WALL10,6,5,5
2,DOWN10,4,3,3
2,WALL90,47,44,46
3,DOWN90,121,114,120
3,WALL10,16,15,15
4,DOWN10,14,13,13
4,WALL90,141,133,140
5,DOWN90,46,22,7
5,WALL10,7,3,1
6,DOWN10,6,2,0
6,WALL90,53,25,8
7,DOWN90,139,66,21
7,WALL10,17,8,2
8,DOWN10,16,7,2
8,WALL90,159,76,24
